Extension Name,Size (.so),Category,Build Type,Installation Source,Notes
timescaledb_toolkit,186M,Time-series,cargo-pgrx,Source-compiled,Rust extension - 58% of all binaries
pg_jsonschema,4.4M,Search,cargo-pgrx,Source-compiled,JSON schema validation
libpgrouting,3.5M,Geospatial,pgxs,PGDG,Routing algorithms
pgroonga,2.1M,Search,cargo-pgrx,Source-compiled,Full-text search (FTS)
vectorscale,1.6M,Vector/ML,cargo-pgrx,Source-compiled,Vector operations (Rust)
postgis,1.3M,Geospatial,pgxs,PGDG,Geospatial queries
timescaledb,719K,Time-series,pgxs,PGDG,Time-series database core
dict_snowball,787K,Core,pgxs,Builtin,Snowball stemming (PG core)
wrappers,595K,Foreign Data,pgxs,Source-compiled,FDW wrapper library
postgis_raster,551K,Geospatial,pgxs,PGDG,Raster support for PostGIS
address_standardizer,429K,Geospatial,pgxs,PGDG,PostGIS address standardizer
pgsodium,380K,Security,pgxs,Source-compiled,Cryptographic functions
postgis_topology,323K,Geospatial,pgxs,PGDG,PostGIS topology support
supautils,290K,Development,cargo-pgrx,Source-compiled,Supabase utilities
pg_stat_monitor,245K,Observability,cargo-pgrx,Source-compiled,Query monitoring (Rust)
vector,190K,Vector/ML,pgxs,PGDG,pgvector - vector similarity search
rum,178K,Indexing,pgxs,PGDG,RUM index type
utf8_and_gb18030,266K,Core,pgxs,Builtin,Encoding support
utf8_and_euc2004,214K,Core,pgxs,Builtin,Encoding support
plpgsql,203K,Core,pgxs,Builtin,PL/pgSQL implementation
plpgsql_check,203K,Development,pgxs,PGDG,PL/pgSQL validator
pg_hashids,83K,Vector/ML,pgxs,Source-compiled,Hashids encoding
pg_safeupdate,43K,Security,pgxs,Source-compiled,Constraint enforcement
index_advisor,<50K,Development,pgxs,Source-compiled,Index recommendations
pgmq,<50K,Message Queue,cargo-pgrx,Source-compiled,Message queue (Rust)
supabase_vault,59K,Security,pgxs,Source-compiled,Secrets management
pg_cron,75K,Observability,pgxs,PGDG,Task scheduler
set_user,26K,Security,pgxs,PGDG,Role switching
wal2json,46K,Development,pgxs,PGDG,WAL replication decoder
hll,54K,Analytics,pgxs,PGDG,HyperLogLog cardinality
http,36K,Integration,pgxs,PGDG,HTTP client
hypopg,42K,Development,pgxs,PGDG,Hypothetical indexes
pg_partman,<50K,Development,pgxs,PGDG,Partition management
pg_repack,34K,Development,pgxs,PGDG,Online table rebuild
pgaudit,34K,Security,pgxs,PGDG,Audit logging
